2026-04-23 12:42:07 | EventCode=4625 | User=hr_manager | SourceIP=192.168.1.100 | Message=An account failed to log on.
2026-04-23 12:47:53 | EventCode=4624 | User=hr_manager | SourceIP=192.168.1.10 | Message=An account succeeded to log on.
2026-04-23 12:47:53 | EventCode=4624 | User=dev_user | SourceIP=10.0.0.5 | Message=An account succeeded to log on.
2026-04-23 12:47:53 | EventCode=4624 | User=dev_user | SourceIP=192.168.1.50 | Message=An account succeeded to log on.
2026-04-23 12:47:53 | EventCode=4624 | User=dev_user | SourceIP=192.168.1.10 | Message=An account succeeded to log on.
2026-04-23 12:47:53 | EventCode=4624 | User=admin | SourceIP=10.0.0.5 | Message=An account succeeded to log on.
2026-04-23 12:47:53 | EventCode=4624 | User=dev_user | SourceIP=10.0.0.5 | Message=An account succeeded to log on.
2026-04-23 12:47:53 | EventCode=4624 | User=guest | SourceIP=10.0.0.5 | Message=An account succeeded to log on.
2026-04-23 12:47:53 | EventCode=4624 | User=hr_manager | SourceIP=192.168.1.50 | Message=An account succeeded to log on.
2026-04-23 12:47:53 | EventCode=4624 | User=guest | SourceIP=192.168.1.10 | Message=An account succeeded to log on.
2026-04-23 12:48:50 | EventCode=4624 | User=dev_user | SourceIP=192.168.1.10 | Message=An account succeeded to log on.
2026-04-23 12:48:50 | EventCode=4624 | User=root | SourceIP=192.168.1.50 | Message=An account succeeded to log on.
2026-04-23 12:48:50 | EventCode=4624 | User=santhosh | SourceIP=10.0.0.5 | Message=An account succeeded to log on.
2026-04-23 12:48:50 | EventCode=4624 | User=guest | SourceIP=10.0.0.5 | Message=An account succeeded to log on.
2026-04-23 12:48:50 | EventCode=4624 | User=guest | SourceIP=192.168.1.50 | Message=An account succeeded to log on.
2026-04-23 12:48:50 | EventCode=4624 | User=dev_user | SourceIP=10.0.0.5 | Message=An account succeeded to log on.
2026-04-23 12:48:50 | EventCode=4624 | User=hr_manager | SourceIP=192.168.1.10 | Message=An account succeeded to log on.
2026-04-23 12:48:50 | EventCode=4624 | User=santhosh | SourceIP=192.168.1.10 | Message=An account succeeded to log on.
2026-04-23 12:48:50 | EventCode=4624 | User=guest | SourceIP=10.0.0.5 | Message=An account succeeded to log on.
2026-04-23 12:48:50 | EventCode=4624 | User=hr_manager | SourceIP=192.168.1.10 | Message=An account succeeded to log on.
